

New start of logging. Datetime: 2022.10.01_112457 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
236;'10/01/2022 11:28:38;'052919011022;FIX;OK;68,0333633;43,14907;173,2;0,00;0,0
237;'10/01/2022 11:28:39;'052920011022;FIX;OK;68,0333633;43,14907;173,3;0,00;0,0
238;'10/01/2022 11:28:40;'052921011022;FIX;OK;68,0333633;43,14907;173,3;0,00;0,0
239;'10/01/2022 11:28:41;'052922011022;FIX;OK;68,0333633;43,14907;173,3;0,00;0,0
240;'10/01/2022 11:28:42;'052923011022;FIX;OK;68,0333633;43,14907;173,3;0,00;0,0
241;'10/01/2022 11:28:43;'052924011022;FIX;OK;68,0333633;43,14907;173,3;0,00;0,0
242;'10/01/2022 11:28:44;'052925011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
243;'10/01/2022 11:28:45;'052926011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
244;'10/01/2022 11:28:45;'052927011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
245;'10/01/2022 11:28:46;'052928011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
246;'10/01/2022 11:28:47;'052929011022;FIX;OK;68,0333633;43,14907;173,4;0,00;0,0
247;'10/01/2022 11:28:48;'052930011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
248;'10/01/2022 11:28:49;'052931011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
249;'10/01/2022 11:28:50;'052932011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
250;'10/01/2022 11:28:51;'052933011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
251;'10/01/2022 11:28:52;'052934011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
252;'10/01/2022 11:28:53;'052935011022;FIX;OK;68,0333633;43,14907;173,5;0,00;0,0
253;'10/01/2022 11:28:54;'052936011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
254;'10/01/2022 11:28:55;'052937011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
255;'10/01/2022 11:28:56;'052938011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
256;'10/01/2022 11:28:57;'052939011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
257;'10/01/2022 11:28:58;'052940011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
258;'10/01/2022 11:28:59;'052941011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
259;'10/01/2022 11:29:00;'052942011022;FIX;OK;68,0333633;43,14907;173,6;0,00;0,0
260;'10/01/2022 11:29:00;'052943011022;FIX;OK;68,0333633;43,14907;173,7;0,00;0,0
261;'10/01/2022 11:29:01;'052944011022;FIX;OK;68,0333633;43,14907;173,7;0,00;0,0
